#separator:Semicolon
#html:true
#columns:Front;Back;Tags
Kernsätze: Tablets statt Schulbücher;PRO: Digitale Lernmittel sind aktuell, interaktiv und fördern die Medienkompetenz.<br>CONTRA: Bildschirme laden zur Ablenkung ein und belasten Augen und Konzentration.<br>FAZIT: Meines Erachtens kommt es nicht auf das Medium an, sondern auf das didaktische Konzept.;testdaf bildung technik
Kernsätze: Handyverbot an Schulen;PRO: Ohne Handys steigt die Konzentration, und in den Pausen wird wieder gespielt und gesprochen.<br>CONTRA: Verbote gehen an der Lebensrealität vorbei — sinnvoller ist es, den bewussten Umgang zu lehren.<br>FAZIT: Meines Erachtens ist ein Verbot im Unterricht richtig, ein Totalverbot aber übertrieben.;testdaf bildung technik
Kernsätze: Hausaufgaben abschaffen;PRO: Hausaufgaben benachteiligen Kinder, deren Eltern nicht helfen können.<br>CONTRA: Regelmäßiges Üben zu Hause festigt den Stoff und erzieht zur Selbstständigkeit.<br>FAZIT: Meines Erachtens sollten Übungszeiten in den Schultag integriert werden.;testdaf bildung
Kernsätze: Homeoffice;PRO: Das Homeoffice spart Pendelzeit und erleichtert die Vereinbarkeit von Beruf und Familie.<br>CONTRA: Wer dauerhaft zu Hause arbeitet, riskiert Isolation, und die Teamkultur leidet.<br>FAZIT: Meines Erachtens ist ein hybrides Modell mit festen Bürotagen der beste Kompromiss.;testdaf arbeit
Kernsätze: Vier-Tage-Woche;PRO: Studien zeigen, dass eine kürzere Woche die Produktivität nicht senken muss und die Gesundheit fördert.<br>CONTRA: In Pflege, Handel und Produktion lässt sich das Modell kaum umsetzen.<br>FAZIT: Meines Erachtens sollte die Vier-Tage-Woche branchenweise erprobt statt pauschal eingeführt werden.;testdaf arbeit
Kernsätze: Renteneintrittsalter erhöhen;PRO: Da die Lebenserwartung steigt, lässt sich ein späterer Renteneintritt kaum vermeiden.<br>CONTRA: Menschen in körperlich harten Berufen erreichen schon das heutige Rentenalter oft nicht gesund.<br>FAZIT: Meines Erachtens muss das Renteneintrittsalter nach Berufen differenziert werden.;testdaf arbeit
Kernsätze: Mindestlohn erhöhen;PRO: Ein höherer Mindestlohn sichert die Existenz und stärkt die Kaufkraft.<br>CONTRA: Kleine Betriebe könnten Stellen streichen, wenn die Lohnkosten zu schnell steigen.<br>FAZIT: Meines Erachtens muss Arbeit zum Leben reichen, sonst zahlt am Ende der Sozialstaat.;testdaf arbeit
Kernsätze: Bedingungsloses Grundeinkommen;PRO: Ein Grundeinkommen nimmt die Existenzangst und macht Bildung und Gründung möglich.<br>CONTRA: Kritiker bezweifeln die Finanzierbarkeit und fürchten sinkende Arbeitsanreize.<br>FAZIT: Meines Erachtens sollten Modellversuche die offenen Fragen klären, bevor man entscheidet.;testdaf arbeit
Kernsätze: Karriere vs. Familie;PRO: Berufstätige Eltern sind Vorbilder und sichern die Familie finanziell ab.<br>CONTRA: Die ersten Lebensjahre der Kinder lassen sich nicht nachholen.<br>FAZIT: Meines Erachtens ist das keine private Frage, sondern eine der Betreuungsangebote und der Arbeitgeber.;testdaf arbeit gesellschaft
Kernsätze: Zuwanderung gegen Fachkräftemangel;PRO: Ohne Zuwanderung lassen sich der Fachkräftemangel und die Alterung der Gesellschaft nicht bewältigen.<br>CONTRA: Kritiker verweisen auf den Integrationsaufwand und die schwierige Anerkennung ausländischer Abschlüsse.<br>FAZIT: Meines Erachtens braucht es beides: gesteuerte Zuwanderung und schnellere Anerkennungsverfahren.;testdaf arbeit gesellschaft
Kernsätze: Soziales Pflichtjahr;PRO: Ein soziales Jahr stärkt den Zusammenhalt und entlastet Pflege und Ehrenamt.<br>CONTRA: Ein Pflichtdienst greift in die Lebensplanung junger Menschen ein und ersetzt reguläre Stellen.<br>FAZIT: Meines Erachtens erreicht ein gut bezahltes freiwilliges Jahr mehr als jeder Zwang.;testdaf gesellschaft
Kernsätze: Wahlalter auf 16 senken;PRO: Wer von Entscheidungen wie der Klimapolitik am längsten betroffen ist, sollte mitbestimmen dürfen.<br>CONTRA: Kritiker bezweifeln die politische Reife und fürchten Beeinflussung.<br>FAZIT: Meines Erachtens gehört zum früheren Wahlrecht eine bessere politische Bildung an den Schulen.;testdaf gesellschaft
Kernsätze: Bargeld abschaffen;PRO: Digitales Bezahlen ist bequem und erschwert Schwarzarbeit und Geldwäsche.<br>CONTRA: Ohne Bargeld wird jeder Einkauf nachverfolgbar, und ältere Menschen werden ausgeschlossen.<br>FAZIT: Meines Erachtens muss Bargeld als Wahlfreiheit erhalten bleiben, auch wenn digitales Bezahlen zum Standard wird.;testdaf gesellschaft technik
Kernsätze: Organspende (Widerspruchslösung);PRO: Die Widerspruchslösung rettet Leben, weil viele Menschen zwar spenden würden, aber nie einen Ausweis ausfüllen.<br>CONTRA: Kritiker sehen die Selbstbestimmung verletzt, wenn Schweigen als Zustimmung gilt.<br>FAZIT: Meines Erachtens ist eine verpflichtende Entscheidung — ja oder nein — der beste Mittelweg.;testdaf gesellschaft gesundheit
Kernsätze: Zoos abschaffen;PRO: Wildtiere leiden in Gefangenschaft, und Dokumentationen vermitteln Wissen ohne Tierleid.<br>CONTRA: Zoos leisten Artenschutz, Forschung und Bildung, gerade für Kinder.<br>FAZIT: Meines Erachtens haben nur Zoos mit artgerechter Haltung und Schutzprogrammen eine Zukunft.;testdaf gesellschaft umwelt
Kernsätze: Tierversuche verbieten;PRO: Ergebnisse aus Tierversuchen lassen sich oft nicht auf den Menschen übertragen, und Alternativen wie Zellkulturen entwickeln sich schnell.<br>CONTRA: Viele medizinische Durchbrüche wären ohne Tierversuche nicht möglich gewesen.<br>FAZIT: Meines Erachtens müssen Alternativen konsequent gefördert und Versuche auf das Unvermeidbare beschränkt werden.;testdaf gesellschaft gesundheit
Kernsätze: Stadt vs. Land;PRO: Die Stadt bietet Arbeitsplätze, Kultur und kurze Wege.<br>CONTRA: Auf dem Land locken bezahlbarer Wohnraum, Natur und Gemeinschaft.<br>FAZIT: Meines Erachtens entscheidet die Lebensphase: Ausbildung in der Stadt, Familie gern auf dem Land.;testdaf gesellschaft
Kernsätze: Mehrgenerationenwohnen;PRO: Wenn Generationen zusammenwohnen, sinkt die Einsamkeit im Alter, und Familien entlasten sich gegenseitig.<br>CONTRA: Pflege erfordert Professionalität, und Angehörige geraten schnell an ihre Grenzen.<br>FAZIT: Meines Erachtens braucht es Mischformen: gemeinsames Wohnen mit ambulanter professioneller Pflege.;testdaf gesellschaft
Kernsätze: Sonntagsöffnung der Geschäfte;PRO: Offene Geschäfte am Sonntag bedeuten Flexibilität für Kunden und Umsatz für den Handel.<br>CONTRA: Der freie Sonntag schützt Beschäftigte und ist als gemeinsamer Ruhetag ein Kulturgut.<br>FAZIT: Meines Erachtens wiegt der gemeinsame freie Tag schwerer als die Bequemlichkeit des Einkaufens.;testdaf gesellschaft
Kernsätze: Werbeverbot für Alkohol und Tabak;PRO: Ein Werbeverbot schützt Jugendliche und senkt langfristig die Gesundheitskosten.<br>CONTRA: Kritiker setzen auf mündige Bürger und bezweifeln die Wirkung von Verboten.<br>FAZIT: Meines Erachtens hat der Jugendschutz Vorrang vor den Interessen der Werbewirtschaft.;testdaf gesellschaft gesundheit
Kernsätze: Tempolimit auf Autobahnen;PRO: Ein Tempolimit senkt die Zahl schwerer Unfälle und den CO₂-Ausstoß — fast alle Länder haben eines.<br>CONTRA: Gegner sehen darin einen unnötigen Eingriff in die Freiheit bei geringem Nutzen.<br>FAZIT: Meines Erachtens wiegt die Sicherheit schwerer als der Zeitgewinn einzelner Fahrer.;testdaf umwelt verkehr
Kernsätze: Kurzstreckenflüge verbieten;PRO: Wo die Bahn in wenigen Stunden fährt, ist das Flugzeug klimapolitisch nicht zu rechtfertigen.<br>CONTRA: Verbote treffen schlecht angebundene Regionen — Anreize wirken oft besser.<br>FAZIT: Meines Erachtens sollte die Bahn so gut und günstig werden, dass sich die Frage von selbst erledigt.;testdaf umwelt verkehr
Kernsätze: Weniger Fleisch essen;PRO: Weniger Fleischkonsum schont Klima, Wasser und Tierwohl zugleich.<br>CONTRA: Vorgeschriebene fleischfreie Tage empfinden viele als Bevormundung.<br>FAZIT: Meines Erachtens überzeugt ein gutes vegetarisches Angebot mehr als jedes Verbot.;testdaf umwelt gesundheit
Kernsätze: Einwegplastik verbieten;PRO: Einwegplastik verschmutzt die Meere und gelangt als Mikroplastik in die Nahrungskette.<br>CONTRA: In Medizin und Hygiene ist Einwegplastik bislang unverzichtbar, und Ersatzstoffe haben nicht immer eine bessere Ökobilanz.<br>FAZIT: Meines Erachtens sind Verbote dort richtig, wo bewährte Alternativen existieren.;testdaf umwelt
Kernsätze: ÖPNV kostenlos machen;PRO: Ein kostenloser Nahverkehr erleichtert den Umstieg vom Auto und sichert soziale Teilhabe.<br>CONTRA: Wichtiger als der Preis sind Takt, Zuverlässigkeit und Ausbau — ein Gratisangebot überlastet schwache Netze.<br>FAZIT: Meines Erachtens sollte das Geld zuerst in den Ausbau fließen und dann in niedrige Preise.;testdaf umwelt verkehr
Kernsätze: E-Autos fördern;PRO: Elektroautos fahren lokal emissionsfrei und treiben die technologische Erneuerung voran.<br>CONTRA: Batterieproduktion und Strommix relativieren die Klimabilanz, und die Förderung begünstigt Besserverdienende.<br>FAZIT: Meines Erachtens ersetzt das E-Auto nur den Antrieb — weniger Autoverkehr insgesamt wäre der größere Gewinn.;testdaf umwelt verkehr
Kernsätze: Atomkraft für den Klimaschutz;PRO: Kernkraftwerke liefern verlässlich CO₂-armen Strom und sichern die Versorgung.<br>CONTRA: Endlagerfrage, Unfallrisiko und hohe Kosten sprechen gegen neue Reaktoren.<br>FAZIT: Meines Erachtens sind erneuerbare Energien schneller und günstiger auszubauen als neue Kernkraftwerke.;testdaf umwelt
Kernsätze: Altersgrenze für soziale Netzwerke;PRO: Eine Altersgrenze schützt Kinder vor Sucht, Mobbing und ungeeigneten Inhalten.<br>CONTRA: Technisch lässt sich eine Altersgrenze kaum kontrollieren, und Medienkompetenz schützt nachhaltiger.<br>FAZIT: Meines Erachtens braucht es beides: klare Pflichten für die Plattformen und Medienbildung in der Schule.;testdaf technik gesellschaft
Kernsätze: Computerspiele;PRO: Spiele trainieren Reaktion und strategisches Denken und schaffen Gemeinschaft.<br>CONTRA: Exzessives Spielen führt zu Bewegungsmangel und kann süchtig machen.<br>FAZIT: Meines Erachtens ist wie überall das Maß entscheidend, nicht das Medium.;testdaf technik
Kernsätze: Videoüberwachung öffentlicher Plätze;PRO: Kameras helfen bei der Aufklärung von Straftaten und erhöhen das Sicherheitsgefühl.<br>CONTRA: Flächendeckende Überwachung greift in die Privatsphäre ein und verdrängt Kriminalität nur an andere Orte.<br>FAZIT: Meines Erachtens ist Überwachung an Brennpunkten vertretbar, flächendeckend jedoch nicht.;testdaf technik gesellschaft
Kernsätze: Online-Shopping vs. Einzelhandel;PRO: Der Online-Handel bietet Auswahl und Preisvergleich und versorgt den ländlichen Raum.<br>CONTRA: Veröden die Innenstädte, verliert die Stadt ihre Mitte — und Retouren belasten die Umwelt.<br>FAZIT: Meines Erachtens überlebt der Einzelhandel nur mit dem, was das Internet nicht kann: Beratung und Erlebnis.;testdaf technik gesellschaft
Kernsätze: Massentourismus begrenzen;PRO: Übertourismus verdrängt Einheimische, treibt die Mieten und schadet Natur und Kulturerbe.<br>CONTRA: Tourismus schafft Arbeitsplätze und Einnahmen für ganze Regionen.<br>FAZIT: Meines Erachtens sind Obergrenzen und Lenkung besser als ungebremstes Wachstum.;testdaf gesellschaft umwelt
Kernsätze: Leistungssport für Kinder;PRO: Früher Leistungssport fördert Disziplin, Gesundheit und echte Talente.<br>CONTRA: Übermäßiger Druck und Verletzungen können die Entwicklung gefährden — und nur wenige schaffen den Durchbruch.<br>FAZIT: Meines Erachtens muss das Kind den Sport wollen, nicht die Eltern.;testdaf gesundheit
Kernsätze: Zuckersteuer;PRO: Eine Zuckersteuer senkt nachweislich den Konsum und entlastet das Gesundheitssystem.<br>CONTRA: Kritiker sprechen von Bevormundung und einer Steuer, die vor allem Geringverdiener trifft.<br>FAZIT: Meines Erachtens wirkt eine Kombination aus Steuer, Werbebeschränkung und Aufklärung am besten.;testdaf gesundheit
Kernsätze: Rauchverbot ausweiten;PRO: Rauchverbote schützen vor Passivrauchen und machen das Rauchen für Jugendliche unattraktiver.<br>CONTRA: Gegner berufen sich auf die persönliche Freiheit und fürchten eine Verbotskultur.<br>FAZIT: Meines Erachtens endet die Freiheit des Einzelnen dort, wo die Gesundheit anderer beginnt.;testdaf gesundheit
Schablone: Einleitung;Ob …, wird in der Öffentlichkeit seit Langem kontrovers diskutiert.<br>Besonders im Hinblick auf … gewinnt dieses Thema zunehmend an Bedeutung.<br>Im Folgenden werde ich zunächst die vorliegende Grafik beschreiben, anschließend Argumente für und gegen … abwägen und abschließend meine eigene Position darlegen.;testdaf schablone
Schablone: Grafikbeschreibung;Die vorliegende Grafik mit dem Titel „…" informiert über …<br>Die Daten stammen von … und beziehen sich auf den Zeitraum von … bis … Die Angaben erfolgen in Prozent.<br>Auffällig ist, dass …<br>Die Zahl der … ist von … auf … gestiegen / gesunken / hat sich verdoppelt.<br>Während … bei … liegt, beträgt … lediglich …<br>Zusammenfassend lässt sich eine deutliche Zunahme/Abnahme der … erkennen.;testdaf schablone
Schablone: Pro-Argumente;Zu dieser Entwicklung werden unterschiedliche Standpunkte vertreten.<br>Die Befürworter argumentieren, dass … / führen ins Feld, dass …<br>Darüber hinaus wird angeführt, dass …<br>Ein anschauliches Beispiel dafür ist …;testdaf schablone
Schablone: Contra-Argumente;Die Gegner wenden dagegen ein, dass …<br>Außerdem befürchten Kritiker, dass …<br>Nicht zuletzt dürfe man nicht vergessen, dass … (Konjunktiv I = TDN-5-Signal!);testdaf schablone
Schablone: Meinung und Heimatland;Meines Erachtens überwiegen die Vorteile/Nachteile.<br>Ausschlaggebend ist für mich das Argument, dass …<br>Allerdings sollte man einräumen, dass …<br>In meinem Heimatland ist die Situation ähnlich/anders: …<br>Im Unterschied zu Deutschland …;testdaf schablone
Schablone: Schluss;Zusammenfassend lässt sich festhalten, dass …<br>Meines Erachtens sollte …<br>Es bleibt zu hoffen, dass …;testdaf schablone
Schablone: Mündliche Stellungnahme (Aufgabe 4, 90 Sek.);1 Satz Einstieg: Das ist eine Frage, die viele beschäftigt.<br>Einerseits spricht für …, dass … Andererseits darf man nicht übersehen, dass …<br>Ich persönlich bin der Meinung, dass …, und zwar aus folgendem Grund: …<br>Deshalb plädiere ich dafür, … zu …<br>1 Satz Fazit: Alles in allem überwiegen für mich die Vorteile/Nachteile.;testdaf schablone sprechen
