[Nomen-Verb] „Für viele Familien kommt ein Heimplatz nicht in ______.";Frage
[Verb+Präp.] „Städte müssen Rücksicht ______ ältere Menschen ______.";auf · nehmen
[Verb+Präp.] „Immer mehr Jugendliche setzen sich ______ die Umwelt ______.";für · ein
[Verb+Präp.] „Viele üben Kritik ______ diesem Modell.";an
[Nomen-Verb] „Am Ende muss die Politik eine Entscheidung ______.";treffen
[Wortfamilie] steigen → Nomen + Adjektiv;der Anstieg · steigend
[Wortfamilie] sinken → Nomen + Adjektiv;der Rückgang · rückläufig
[Wortfamilie] wachsen → Nomen;das Wachstum
[Wortfamilie] zunehmen → Nomen;die Zunahme
[Wortfamilie] abnehmen → Nomen;die Abnahme
[Wortfamilie] sich verdoppeln → Nomen;die Verdopplung
[Wortfamilie] stagnieren → Nomen;die Stagnation
[Wortfamilie] sich erhöhen → Nomen;die Erhöhung
[Synonym C1] „ein wichtiger Punkt" → 2 C1-Wörter;entscheidend · zentral · maßgeblich
[Synonym C1] „viele Studierende" → C1;zahlreiche · ein erheblicher Teil der Studierenden
[Synonym C1] „ein gutes Argument" → C1;ein überzeugendes / stichhaltiges Argument
[Synonym C1] „schlechte Folgen" → C1;problematische / nachteilige / bedenkliche Folgen
[Synonym C1] „Die Studie sagt, dass …" → C1;belegt · zeigt auf · hebt hervor
[Synonym C1] „ein großes Problem" → C1;eine große Herausforderung · ein gravierender Missstand
[Synonym C1] „Die Grafik zeigt einen Trend." → C1;verdeutlicht · veranschaulicht · dokumentiert
[Synonym C1] „sehr interessant" → C1;äußerst · überaus · besonders
[Konjunktiv II] „Wenn die Gebühren abgeschafft werden, studieren mehr junge Menschen.“ → irreal (Konjunktiv II);Wenn die Gebühren abgeschafft würden, würden mehr junge Menschen studieren.
[Konjunktiv II] „Ohne das Auto erreichen viele Pendler ihren Arbeitsplatz nicht.“ → mit „könnten“;Ohne das Auto könnten viele Pendler ihren Arbeitsplatz nicht erreichen.
[Konjunktiv II] Vorsichtiger Vorschlag: „Die Stadt muss den Nahverkehr ausbauen.“;Die Stadt sollte/müsste den Nahverkehr ausbauen.
[Konjunktiv II] Prognose (Sprechen 6): „Der Trend setzt sich fort. Der Fleischkonsum sinkt weiter.“ → mit „dürfte“;Wenn sich der Trend fortsetzt, dürfte der Fleischkonsum weiter sinken.
[Konjunktiv II] „Es ist besser, wenn Kinder später eingeschult werden.“ → Konjunktiv II;Es wäre besser, wenn Kinder später eingeschult würden.
[Konjunktiv II] Irreale Vergangenheit: „Ich habe das Stipendium nicht beantragt. Das war ein Fehler.“;Ich hätte das Stipendium beantragen sollen.
[Konjunktiv II] Rat mit „an deiner Stelle“: dein Freund arbeitet 25 Stunden pro Woche neben dem Studium;An deiner Stelle würde ich den Nebenjob reduzieren.
[Konjunktiv II] Vermutung: „Ein Grund dafür ______ sein, dass die Mieten steigen.“;könnte
[Partizipialattribut] „die Kosten, die steigen“ → Partizip I;die steigenden Kosten
[Partizipialattribut] „die Studiengebühren, die abgeschafft wurden“ → Partizip II;die abgeschafften Studiengebühren
[Partizipialattribut] „die im Ausland erbrachten Leistungen“ → Relativsatz;die Leistungen, die im Ausland erbracht wurden
[Partizipialattribut] „Menschen, die auf das Auto angewiesen sind“ → Partizipialattribut;die auf das Auto angewiesenen Menschen
[Partizipialattribut] „der Anteil, der seit 2010 kontinuierlich wächst“ → Partizip I;der seit 2010 kontinuierlich wachsende Anteil
[Partizipialattribut] „eine Entscheidung, die gut begründet ist“ → Partizip II;eine gut begründete Entscheidung
[Partizipialattribut] „die von der OECD veröffentlichten Daten“ → Relativsatz;die Daten, die von der OECD veröffentlicht wurden
[Partizipialattribut] „ein Problem, das sich verschärft“ → Partizip I;ein sich verschärfendes Problem
[Adjektivdeklination] „wegen d__ steigend__ Mieten“;wegen der steigenden Mieten
[Adjektivdeklination] „ein überzeugend__ Argument“ (Nominativ, neutrum);ein überzeugendes Argument
[Adjektivdeklination] „mit einem gut ausgebaut__ Nahverkehr“;mit einem gut ausgebauten Nahverkehr
[Adjektivdeklination] „die Bedeutung lebenslang__ Lernens“;die Bedeutung lebenslangen Lernens
[Adjektivdeklination] „trotz zahlreich__ Proteste“;trotz zahlreicher Proteste
[Adjektivdeklination] „in den vergangen__ zehn Jahren“;in den vergangenen zehn Jahren
[Adjektivdeklination] „junge Menschen aus einkommensschwach__ Familien“;junge Menschen aus einkommensschwachen Familien
[Adjektivdeklination] „angesichts d__ wachsend__ Nachfrage“;angesichts der wachsenden Nachfrage
